Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 01/26  15:00:00,347264635.52991738,0.0,0.0,260526206.68848003,0.0,29122315.948799999,57616112.89263735,780064806.9070653,780064806.9070653,244885701.08838106,0.0,618802104.6736634,0.0 
 01/26  16:00:00,347264635.52991738,0.0,0.0,260526206.68848003,0.0,29122315.948799999,57616112.89263735,815620088.5271933,815620088.5271933,252978198.1911193,0.0,647003347.2880173,0.0 
 01/26  17:00:00,355364035.52991738,0.0,0.0,260526206.68848003,8099400.0,29122315.948799999,57616112.89263734,877469237.88729,877469237.88729,281062576.28117808,0.0,696066197.2819736,0.0 
 01/26  18:00:00,395861035.52991738,0.0,0.0,260526206.68848003,48596400.0,29122315.948799999,57616112.89263735,948463103.2132434,948463103.2132434,321769175.409811,0.0,752381610.2926393,0.0 
 01/26  19:00:00,305783153.7505575,0.0,0.0,173684137.79232,48596400.0,25886503.0656,57616112.89263734,1022145225.0748451,1022145225.0748451,369487847.4459185,0.0,810786645.6270697,0.0 
 01/26  20:00:00,305783153.7505575,0.0,0.0,173684137.79232,48596400.0,25886503.0656,57616112.89263735,1091710593.7538753,1091710593.7538753,413180786.2030964,0.0,865959884.3187796,0.0 
 01/26  21:00:00,273599984.56863746,0.0,0.0,144736781.4936,48596400.0,22650690.1824,57616112.89263735,1144839859.2565404,1144839859.2565404,444361988.47643718,0.0,908088666.8333035,0.0 
 01/26  22:00:00,132965911.05657096,0.0,0.0,57894712.59744,48596400.0,12943251.5328,13531546.926330936,430393854.97737839,430393854.97737839,350255313.1335572,0.0,341093069.82445326,0.0 
 01/26  23:00:00,88771536.32622633,0.0,0.0,14473678.14936,48596400.0,6471625.7664,19229832.41046632,609713012.2396808,609713012.2396808,497397144.6811696,0.0,483617277.5937502,0.0 
 01/26  24:00:00,91404836.15213564,0.0,0.0,14473678.14936,48596400.0,6471625.7664,21863132.236375654,707752886.9994818,707752886.9994818,569994085.949193,0.0,560965556.9179121,0.0 
 01/27  01:00:00,90924043.9592473,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,23000246.485087307,730974085.0332188,730974085.0332188,595776300.8667853,0.0,579873711.3841558,0.0 
 01/27  02:00:00,92018161.78829237,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,24094364.314132357,782809338.6313671,782809338.6313671,629323712.9471494,0.0,620467364.5165172,0.0 
 01/27  03:00:00,92666212.67147258,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,24742415.19731259,787507935.4534571,787507935.4534571,641349634.2915789,0.0,624727039.4452329,0.0 
 01/27  04:00:00,93182574.29275225,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,25258776.818592244,822088318.092881,822088318.092881,660368583.7588972,0.0,651626755.1661052,0.0 
 01/27  05:00:00,93437643.82982759,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,25513846.3556676,811920571.8102079,811920571.8102079,661335146.7261325,0.0,644112700.5852492,0.0 
 01/27  06:00:00,94122078.70002294,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,26198281.225862937,852898204.6598863,852898204.6598863,685436091.7885392,0.0,676047592.7534881,0.0 
 01/27  07:00:00,125539910.36679733,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,57616112.89263735,1840439500.0579117,1840439500.0579117,941983531.226822,0.0,1459938900.7945193,0.0 
 01/27  08:00:00,104370307.84095733,0.0,0.0,28947356.29872,8099400.0,9707438.649600001,57616112.89263735,1598744419.6027444,1598744419.6027444,756418984.4861181,0.0,1268099141.6036504,0.0 
 01/27  09:00:00,160637246.20479743,0.0,0.0,86842068.89616,0.0,16179064.416,57616112.89263735,1439376846.1094616,1439376846.1094616,638627741.5903587,0.0,1141629245.9233709,0.0 
