Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 12/24  13:00:00,343136675.5210949,0.0,0.0,260526206.68848003,0.0,29122315.948799999,53488152.88381505,455360993.69070157,455360993.69070157,94307966.65520776,222373.03025695438,361223752.1013963,0.0 
 12/24  14:00:00,343136675.5210949,0.0,0.0,260526206.68848003,0.0,29122315.948799999,53488152.88381505,412773605.97097417,412773605.97097417,72562165.0947764,2132597.3909549165,327449963.12553378,0.0 
 12/24  15:00:00,343136675.5210949,0.0,0.0,260526206.68848003,0.0,29122315.948799999,53488152.88381505,394933688.1368034,394933688.1368034,62459407.42007329,3413142.6064108859,313306387.49713066,0.0 
 12/24  16:00:00,343136675.5210949,0.0,0.0,260526206.68848003,0.0,29122315.948799999,53488152.88381505,403695136.2321929,403695136.2321929,61062549.45491628,3748007.9646674909,320271139.6490792,0.0 
 12/24  17:00:00,383633675.5210949,0.0,0.0,260526206.68848003,40497000.0,29122315.948799999,53488152.88381505,448951681.6229217,448951681.6229217,84591573.29249476,1519526.0421304126,356194860.65013566,0.0 
 12/24  18:00:00,391733075.5210949,0.0,0.0,260526206.68848003,48596400.0,29122315.948799999,53488152.88381505,522488575.9003794,522488575.9003794,120396452.46107202,0.0,414533129.28350016,0.0 
 12/24  19:00:00,301655193.7417351,0.0,0.0,173684137.79232,48596400.0,25886503.0656,53488152.88381505,599014670.5880476,599014670.5880476,164161911.03878693,0.0,475194885.6799649,0.0 
 12/24  20:00:00,301655193.7417351,0.0,0.0,173684137.79232,48596400.0,25886503.0656,53488152.88381505,651926649.3744373,651926649.3744373,198578641.0360249,0.0,517155885.71211567,0.0 
 12/24  21:00:00,269472024.559815,0.0,0.0,144736781.4936,48596400.0,22650690.1824,53488152.88381505,681610258.1481662,681610258.1481662,218754652.92444343,0.0,540693210.8582137,0.0 
 12/24  22:00:00,122087746.54636432,0.0,0.0,57894712.59744,48596400.0,12943251.5328,2653382.4161243129,84365179.7800646,84365179.7800646,69073380.16538921,0.0,66921262.18173006,0.0 
 12/24  23:00:00,77881863.31838376,0.0,0.0,14473678.14936,48596400.0,6471625.7664,8340159.402623756,265603471.21955366,265603471.21955366,216549241.2230088,0.0,210319039.4868108,0.0 
 12/24  24:00:00,79872804.6862223,0.0,0.0,14473678.14936,48596400.0,6471625.7664,10331100.770462295,327541332.4384734,327541332.4384734,266962272.60206539,0.0,259987379.98303087,0.0 
 12/25  01:00:00,79728716.52707118,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,11804919.052911178,377560107.30944219,377560107.30944219,306200985.3193728,0.0,299018406.6917822,0.0 
 12/25  02:00:00,79526537.39584533,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,11602739.92168532,368593468.19504156,368593468.19504156,299777141.463023,0.0,292594694.6386374,0.0 
 12/25  03:00:00,79857645.88409484,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,11933848.409934832,381967905.51870456,381967905.51870456,309606275.25030896,0.0,302517923.79632756,0.0 
 12/25  04:00:00,80153200.64898524,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,12229403.17482523,388598027.1026129,388598027.1026129,315947999.6696257,0.0,308498219.84816858,0.0 
 12/25  05:00:00,81655146.07717774,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,13731348.603017739,440040958.159464,440040958.159464,356242241.81316688,0.0,348532400.41034939,0.0 
 12/25  06:00:00,81924072.28996508,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,14000274.815805089,445448691.4682635,445448691.4682635,361853046.4910184,0.0,353637936.9288475,0.0 
 12/25  07:00:00,82633865.80022961,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,14710068.32606961,471861505.6709346,471861505.6709346,382074925.51141849,0.0,373743148.77480247,0.0 
 12/25  08:00:00,49812429.850027028,0.0,0.0,14473678.14936,16198800.0,4853719.3248000009,14286232.375867023,454744987.1405917,454744987.1405917,369404077.164882,0.0,361018999.76575687,0.0 
 12/25  09:00:00,92142947.83213502,0.0,0.0,28947356.29872,0.0,9707438.649600001,53488152.88381505,1207497590.948673,1207497590.948673,616797216.7449427,0.0,957659665.1323392,0.0 
 12/25  10:00:00,92142947.83213502,0.0,0.0,28947356.29872,0.0,9707438.649600001,53488152.88381505,893898851.6124032,893898851.6124032,408920825.43461838,0.0,709046632.9712781,0.0 
 12/25  11:00:00,188692455.37789507,0.0,0.0,115789425.19488,0.0,19414877.299200003,53488152.88381505,710755929.6370645,710755929.6370645,292847496.5913727,0.0,563779007.8404602,0.0 
 12/25  12:00:00,188692455.37789507,0.0,0.0,115789425.19488,0.0,19414877.299200003,53488152.88381505,607346131.3459967,607346131.3459967,233031158.52686105,0.0,481749653.5499861,0.0 
 12/25  13:00:00,253058793.74173508,0.0,0.0,173684137.79232,0.0,25886503.0656,53488152.88381505,501552774.6168754,501552774.6168754,162910668.91341514,0.0,397852145.6756098,0.0 
 12/25  14:00:00,253058793.74173508,0.0,0.0,173684137.79232,0.0,25886503.0656,53488152.88381505,453774936.7725116,453774936.7725116,137085232.0094069,0.0,359954707.6962766,0.0 
 12/25  15:00:00,253058793.74173508,0.0,0.0,173684137.79232,0.0,25886503.0656,53488152.88381505,434093709.7448857,434093709.7448857,123711038.31383214,0.0,344338780.1857397,0.0 
 12/25  16:00:00,253058793.74173508,0.0,0.0,173684137.79232,0.0,25886503.0656,53488152.88381505,448752589.6868428,448752589.6868428,127765222.75545699,0.0,355973042.4421744,0.0 
 12/25  17:00:00,293555793.7417351,0.0,0.0,173684137.79232,40497000.0,25886503.0656,53488152.88381505,499301059.79307267,499301059.79307267,147113566.47842307,0.0,396083271.12973216,0.0 
 12/25  18:00:00,237288855.37789504,0.0,0.0,115789425.19488,48596400.0,19414877.299200003,53488152.88381505,852042636.2695543,852042636.2695543,405796556.45514646,0.0,675809124.4272429,0.0 
 12/25  19:00:00,172922517.0140551,0.0,0.0,57894712.59744,48596400.0,12943251.5328,53488152.88381505,930174588.7954993,930174588.7954993,456801990.7658939,0.0,737771559.2951949,0.0 
 12/25  20:00:00,70020127.72611729,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,2096330.251957291,67127745.39045903,67127745.39045903,54764697.61647027,0.0,53144038.13747525,0.0 
 12/25  21:00:00,73944693.41824189,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,6020895.94408189,191665506.8073699,191665506.8073699,156612094.1114775,0.0,151752206.35449199,0.0 
 12/25  22:00:00,75800039.09242505,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,7876241.618265057,249813299.1520369,249813299.1520369,203925686.639095,0.0,198180912.10260157,0.0 
 12/25  23:00:00,75807335.84730475,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,7883538.37314475,251272553.50186087,251272553.50186087,204786795.18691827,0.0,199019989.9868344,0.0 
 12/25  24:00:00,76975332.64654839,0.0,0.0,14473678.14936,48596400.0,4853719.3248000009,9051535.172388398,287442713.2498534,287442713.2498534,234282883.23559089,0.0,228077138.91657175,0.0 
 12/26  01:00:00,78760079.23175887,0.0,0.0,14473678.14936,48596400.0,6471625.7664,9218375.315998879,294239740.9483955,294239740.9483955,239427439.0322137,0.0,233067892.73411,0.0 
 12/26  02:00:00,79328889.92505655,0.0,0.0,14473678.14936,48596400.0,6471625.7664,9787186.00929654,311241371.12024179,311241371.12024179,253271647.83596183,0.0,246982907.88090516,0.0 
 12/26  03:00:00,78426401.96306786,0.0,0.0,14473678.14936,48596400.0,6471625.7664,8884698.04730786,283489476.2585116,283489476.2585116,230750084.80757929,0.0,224561727.20575879,0.0 
 12/26  04:00:00,78876043.92598765,0.0,0.0,14473678.14936,48596400.0,6471625.7664,9334340.010227645,296643101.33274599,296643101.33274599,241585097.5116561,0.0,235405073.06348769,0.0 
 12/26  05:00:00,77908106.47836077,0.0,0.0,14473678.14936,48596400.0,6471625.7664,8366402.562600774,266871870.537793,266871870.537793,217331672.53501339,0.0,211402524.20130278,0.0 
 12/26  06:00:00,79764634.3883627,0.0,0.0,14473678.14936,48596400.0,6471625.7664,10222930.472602714,324932714.54098466,324932714.54098466,264557487.74847124,0.0,257859019.6867798,0.0 
 12/26  07:00:00,123029856.79957506,0.0,0.0,14473678.14936,48596400.0,6471625.7664,53488152.88381505,1109579541.0413576,1109579541.0413576,579155765.6150264,0.0,880128140.7362012,0.0 
 12/26  08:00:00,140524917.0140551,0.0,0.0,57894712.59744,16198800.0,12943251.5328,53488152.88381505,864755399.1351223,864755399.1351223,403496602.88633868,0.0,685974338.9072341,0.0 
 12/26  09:00:00,220875624.55981497,0.0,0.0,144736781.4936,0.0,22650690.1824,53488152.88381505,709390629.4996058,709390629.4996058,303852352.55682656,0.0,562743797.1521432,0.0 
 12/26  10:00:00,343136675.5210949,0.0,0.0,260526206.68848003,0.0,29122315.948799999,53488152.88381505,551961456.6254044,551961456.6254044,195387292.04550029,0.0,437902464.8756308,0.0 
 12/26  11:00:00,343136675.5210949,0.0,0.0,260526206.68848003,0.0,29122315.948799999,53488152.88381505,483446042.09101459,483446042.09101459,153396265.06351058,0.0,383552768.3730012,0.0 
