Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 07/20  21:00:00,51233915.690659899,0.0,10809490.637596226,7169289.229440002,9957600.0,7920077.218560001,15377458.605049128,0.000014538461538461542,1631086.1222890618,0.0,1631086.1222890618,0.0,21190721.814019506,93004.89581304151,0.0,44731223.070011708 
 07/20  22:00:00,21462321.833294546,0.0,0.0,3584644.614720001,9957600.0,7920077.218560001,0.0,0.000014538461538461542,1631055.6555892472,0.0,1631055.6555892472,0.0,0.0,58128.05988315095,0.0,0.0 
 07/20  23:00:00,19669999.525934545,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,0.0,0.000014538461538461542,72000.0,0.0,72000.0,0.0,0.0,58128.059883150956,0.0,0.0 
 07/20  24:00:00,19669999.525934545,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,0.0,0.000014538461538461542,1631019.8287716036,0.0,1631019.8287716036,0.0,0.0,58128.059883150956,0.0,0.0 
 07/21  01:00:00,19669999.525934545,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,0.0,0.000014538461538461542,1631083.4928546875,0.0,1631083.4928546875,0.0,0.0,58016.95976063061,0.0,0.0 
 07/21  02:00:00,19669999.525934545,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,0.0,0.000014538461538461542,72000.0,0.0,72000.0,0.0,0.0,58016.959760630605,0.0,0.0 
 07/21  03:00:00,19669999.525934545,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,0.0,0.000014538461538461542,1631048.370163602,0.0,1631048.370163602,0.0,0.0,58016.95976063061,0.0,0.0 
 07/21  04:00:00,19669999.525934545,0.0,0.0,1792322.3073600005,9957600.0,7920077.218560001,0.0,0.000014538461538461542,1631012.2395484534,0.0,1631012.2395484534,0.0,0.0,58016.95976063061,0.0,0.0 
 07/21  05:00:00,16483521.833294539,0.0,0.0,3584644.614720001,4978800.0,7920077.218560001,0.0,0.000014538461538461542,72000.0,0.0,72000.0,0.0,0.0,92827.13561700897,0.0,0.0 
 07/21  06:00:00,29342680.66879414,0.0,2460500.2304504786,3584644.614720001,0.0,7920077.218560001,15377458.605049128,0.000014538461538461542,2030561.196944224,399477.9440901256,1631083.2528540984,6577396.125833406,531830.9324887889,81223.74366488286,311592.79639029808,11787907.019163983 
 07/21  07:00:00,39370412.82293202,0.0,5318943.1551483529,10753933.844160002,0.0,7920077.218560001,15377458.605049128,0.000014538461538461542,1631146.0134958837,0.0,1631146.0134958837,2257097.500024886,6032766.725264987,220464.44709039629,0.0,24176225.330635925 
 07/21  08:00:00,80265347.69050676,0.0,14805913.811203078,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,1631263.3075449316,0.0,1631263.3075449316,0.0,28549785.470137434,406118.71832441419,0.0,64642405.56250034 
 07/21  09:00:00,84143234.4127976,0.0,18683800.53349391,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,1631221.5831622706,0.0,1631221.5831622706,0.0,38909123.166336778,440928.8941807926,0.0,78470837.32829991 
 07/21  10:00:00,87680713.53023695,0.0,22221279.650933267,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,1631180.5597126263,0.0,1631180.5597126263,0.0,47347436.19732284,452532.2861329188,0.0,89406139.8062405 
 07/21  11:00:00,90009888.24764177,0.0,24550454.368338095,32261801.53248001,0.0,17820173.74176,15377458.605049128,0.000014538461538461542,1631246.7507380418,0.0,1631246.7507380418,0.0,54038905.18966455,545359.4217499277,0.0,96541620.67891644 
