Date/Time,BULKSTORAGE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),BULKSTORAGE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),FINESTORAGE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),FINESTORAGE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),OFFICE:Zone Thermostat Heating Setpoint Temperature [C](Hourly),OFFICE:Zone Thermostat Cooling Setpoint Temperature [C](Hourly),Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly),FURNACE_PACU_CAV_1:1:Air System Total Heating Energy [J](Hourly),FURNACE_PACU_CAV_1:1:Air System Total Cooling Energy [J](Hourly),FURNACE_PACU_CAV_2:2:Air System Total Heating Energy [J](Hourly),FURNACE_PACU_CAV_2:2:Air System Total Cooling Energy [J](Hourly) 
 01/14  14:00:00,7.2,24.0,15.6,26.7,21.0,24.0,82922789.80840913,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,67738947.97230089,850048750.7526846,850048750.7526846,699076658.5217837,0.0,665027110.5098797,0.0,86934626.60888829,0.0,413427027.67108216,0.0 
 01/14  15:00:00,7.2,24.0,15.6,26.7,21.0,24.0,82922789.80840913,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,67738947.97230089,809325242.1888594,809325242.1888594,668156992.1444295,0.0,633184001.9695891,0.0,83783752.18861407,0.0,404917839.73697599,0.0 
 01/14  16:00:00,7.2,24.0,15.6,26.7,21.0,24.0,82922789.80840913,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,67738947.97230089,834216693.1236748,834216693.1236748,686856735.7270309,0.0,652617981.6199906,0.0,84529669.03842238,0.0,412708544.0344569,0.0 
 01/14  17:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,62605718.85503362,0.0,0.0,11542082.99495346,19724400.0,3641758.8411547804,27697477.018925378,833022778.6610718,833022778.6610718,673319921.1189321,0.0,650438584.2329987,0.0,28484496.881860965,0.0,383773891.4439067,0.0 
 01/14  18:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,80288515.70843785,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,25655873.872329605,851189351.1507255,851189351.1507255,686649687.7747711,0.0,664945345.2057948,0.0,42577213.46208732,0.0,341821335.05179187,0.0 
 01/14  19:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,88815918.8009907,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,34183276.964882489,1052500853.2674356,1052500853.2674356,847744730.9106962,0.0,821998872.7868265,0.0,43855634.02081474,0.0,482603026.0490023,0.0 
 01/14  20:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,82123186.40193671,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,27490544.56582849,932804195.4008317,932804195.4008317,751896553.8197825,0.0,728784633.1284759,0.0,50096022.455482307,0.0,366536924.0899048,0.0 
 01/14  21:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,91119301.80186363,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,36486659.96575539,1165962174.0854359,1165962174.0854359,937723148.1661896,0.0,910632054.2037057,0.0,49434874.7302046,0.0,517122864.2425432,0.0 
 01/14  22:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,84620521.24583325,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,29987879.409725008,1076427611.4967604,1076427611.4967604,865903517.529664,0.0,840983037.6449841,0.0,57298135.62991279,0.0,402467728.6693132,0.0 
 01/14  23:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,94210393.05050045,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,39577751.214392218,1325894641.4750252,1325894641.4750252,1064431822.9249005,0.0,1035522152.1660049,0.0,55408328.91050903,0.0,564938193.414803,0.0 
 01/14  24:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,88387137.20727703,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,33754495.371168788,1310884880.0172339,1310884880.0172339,1051674896.2670071,0.0,1024096229.6431906,0.0,67193933.05460477,0.0,457055400.2418383,0.0 
 01/15  01:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,99142382.02646388,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,44509740.19035565,1581365368.1298826,1581365368.1298826,1266002578.9068878,0.0,1234992634.5558055,0.0,63914790.39617356,0.0,643024579.7231019,0.0 
 01/15  02:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,90247438.56536509,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,35614796.72925686,1407977736.9954322,1407977736.9954322,1128677966.2825886,0.0,1099943914.153387,0.0,72016097.71587289,0.0,484637906.67770406,0.0 
 01/15  03:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,99810271.42199797,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,45177629.585889708,1611317822.7869397,1611317822.7869397,1289624036.2056277,0.0,1258397374.947453,0.0,65664726.01838073,0.0,653141736.3174563,0.0 
 01/15  04:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,90467303.100366,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,35834661.264257777,1414769341.543442,1414769341.543442,1134131515.17988,0.0,1105271136.2333122,0.0,73261658.25898803,0.0,487349820.0049447,0.0 
 01/15  05:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,98935175.65700788,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,44302533.82089965,1560342348.2572938,1560342348.2572938,1249425014.599946,0.0,1218610470.4112375,0.0,64575480.29262923,0.0,638768873.2544756,0.0 
 01/15  06:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,89279316.97755273,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,34646675.1414445,1337249820.5097924,1337249820.5097924,1072867416.3949608,0.0,1044752635.8927472,0.0,71032745.80627847,0.0,468989681.7179774,0.0 
 01/15  07:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,96695711.43557245,0.0,0.0,11542082.99495346,39448800.0,3641758.8411547804,42063069.59946421,1433436836.497666,1433436836.497666,1149269435.5225077,0.0,1119534200.9092437,0.0,60811238.1669278,0.0,603117403.3973262,0.0 
 01/15  08:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,60082534.18431294,0.0,0.0,11542082.99495346,13149600.0,3641758.8411547804,31749092.348204703,1155141553.0515989,1155141553.0515989,928748999.4049944,0.0,902549939.640912,0.0,64411869.62096692,0.0,426068159.03178146,0.0 
 01/15  09:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,52335591.99030729,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,37151750.15419904,1188280638.7035905,1188280638.7035905,955223592.9700656,0.0,928111767.9049074,0.0,52418447.17489736,0.0,526898763.9188425,0.0 
 01/15  10:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,42486828.53258688,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,27302986.696478644,916330674.8940146,916330674.8940146,738960543.2923002,0.0,716014784.6118347,0.0,53422094.05970131,0.0,361273511.40297648,0.0 
 01/15  11:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,46814948.90965678,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,31631107.07354854,934058813.7634618,934058813.7634618,753262125.2224307,0.0,729581399.4932295,0.0,42488241.341846007,0.0,441730785.95860317,0.0 
 01/15  12:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,38470057.69363802,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,23286215.857529776,699370893.9385719,699370893.9385719,566094575.4979369,0.0,546533737.3553317,0.0,42861247.02121949,0.0,303431778.1077979,0.0 
 01/15  13:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,41763520.93064299,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,26579679.094534749,689641854.5526992,689641854.5526992,559185669.3881171,0.0,538719616.3771308,0.0,33427863.313665686,0.0,364858462.4415291,0.0 
 01/15  14:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,34843392.486663449,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,19659550.650555206,491457352.4468284,491457352.4468284,401243029.9791591,0.0,384178463.94343629,0.0,35216853.264777909,0.0,250254364.45170344,0.0 
 01/15  15:00:00,7.200000000000002,30.0,15.6,26.7,15.5,30.0,38032038.49320006,0.0,0.0,11542082.99495346,0.0,3641758.8411547804,22848196.657091816,504504885.5621573,504504885.5621573,412376605.2066282,0.0,394217697.3142808,0.0,29449703.20237884,0.0,306747040.28533509,0.0 
