Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 10/03  20:00:00,317893749.99136266,45124197.262998189,3800830.5893974986,90881049.35517045,64112400.0,101118800.5979314,12826087.84704159,30384.338823529408,4072220.0296041558,0.0,4072220.0296041558,6492180.62327836,213415218.63759173,2076877.8690033085,45124197.262998189,13054789.910919495 
 10/03  21:00:00,327902982.205324,63558084.24218123,0.0,90881049.35517045,64112400.0,96494976.4221072,12826087.84704159,30384.338823529408,72000.0,0.0,72000.0,9910626.133436807,189978136.60847105,977354.2912956746,63558084.24218123,0.0 
 10/03  22:00:00,171632448.59489949,0.0,0.0,30293683.11839016,64112400.0,77195981.13768575,0.0,30384.33882352941,4069792.0791350577,0.0,4069792.0791350577,10097894.372796718,0.0,610846.4320597965,0.0,0.0 
 10/03  23:00:00,156485607.03570435,0.0,0.0,15146841.55919508,64112400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,7068526.060957702,0.0,610846.4320597965,0.0,0.0 
 10/03  24:00:00,156485607.03570435,0.0,0.0,15146841.55919508,64112400.0,77195981.13768575,0.0,30384.338823529408,4070190.543246906,0.0,4070190.543246906,6058736.62367803,0.0,610846.4320597965,0.0,0.0 
 10/04  01:00:00,156485607.03570435,0.0,0.0,15146841.55919508,64112400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,612783.9435526052,0.0,0.0 
 10/04  02:00:00,156485607.03570435,0.0,0.0,15146841.55919508,64112400.0,77195981.13768575,0.0,30384.338823529408,4070279.9334555726,0.0,4070279.9334555726,6058736.62367803,0.0,612783.9435526052,0.0,0.0 
 10/04  03:00:00,156485607.03570435,0.0,0.0,15146841.55919508,64112400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,612783.9435526051,0.0,0.0 
 10/04  04:00:00,156485607.03570435,0.0,0.0,15146841.55919508,64112400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,6058736.62367803,0.0,612783.9435526052,0.0,0.0 
 10/04  05:00:00,171632448.59489949,0.0,0.0,30293683.11839016,64112400.0,77195981.13768575,0.0,30384.338823529408,4070552.173012666,0.0,4070552.173012666,11107683.81007639,0.0,980454.3096841683,0.0,0.0 
