Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 11/02  06:00:00,2230093483.4291598,0.0,183732828.1810705,269139926.16821607,221742000.0,717706469.7819098,351999296.7032966,121462124.74255269,199976464.9479445,164334372.9041696,1341852061.362901,1326145045.5170339,15707015.845867232,1637064883.7761255,87605749.94583604,1929163053.5782927,8190048.0526565159,977754915.4453328,705827691.7201318 
 11/02  07:00:00,2604523896.1934096,0.0,90454719.06788947,807419778.5046485,73914000.0,717706469.7819098,439999120.8791207,120498881.29917348,190196553.75649829,164334372.9041696,1206734642.9559479,1183107860.8354042,23626782.120543709,853704322.2256742,50654750.795198697,1924056988.7132464,22230097.302105376,903911428.0870085,364557269.7814287 
 11/02  08:00:00,5098773315.76677,0.0,141334093.13881714,2422259335.513945,0.0,1614839557.0092962,439999120.8791207,120498881.29917348,195507955.02224873,164334372.9041696,419502401.98778948,364127698.2687491,55374703.71904031,1303598219.339768,30585039.74838585,2650804778.687743,40950229.18815846,295436254.424173,573502133.3595492 
 11/02  09:00:00,5160174554.987085,0.0,318937019.53596809,2422259335.513945,0.0,1614839557.0092962,307999384.6153846,120511023.54595194,211293861.8623706,164334372.9041696,215444663.7227084,160008850.9289301,55435812.79377827,2677425453.748926,25435373.642803309,2932186575.718746,44460246.26496187,129890215.31568203,1181201927.2748159 
 11/02  10:00:00,5110412558.423905,0.0,424757253.1681907,2422259335.513945,0.0,1614839557.0092962,131999736.26373624,123023652.6912142,229198650.87335397,164334372.9041696,157650018.1509715,102191164.16547519,55458853.98549629,3244671108.8533318,19395518.166585197,3107883863.6104829,45630262.60725659,85739148.0274376,2003988117.6243218 
 11/02  11:00:00,5202053186.436437,0.0,493677250.4348575,2422259335.513945,0.0,1614839557.0092962,131999736.26373624,132353638.63095702,242589295.6794762,164334372.9041696,132713695.10654669,61199806.48579939,71513888.6207473,3429773996.233572,14276087.12361386,3402567428.75857,54990317.49517246,53134052.528114538,2819366493.505312 
 11/02  12:00:00,5174404327.328837,0.0,626745040.5673603,2422259335.513945,0.0,1435412939.5638197,131999736.26373624,137675474.4224843,255977428.09332494,164334372.9041696,145095918.23289017,57375758.979111667,87720159.25377852,4331201081.437535,5648745.123491757,3521133643.7638666,66690131.89376585,50079446.137211199,3641974181.8188688 
 11/02  13:00:00,5516947991.769826,0.0,775345276.2784352,2422259335.513945,0.0,1614839557.0092962,131999736.26373624,138583646.88820163,269586066.912043,164334372.9041696,86248878.36671978,6582792.037538765,79666086.329181,5281166761.677162,616845.5325164076,3653613541.794997,63180008.10955851,5999517.572665785,4427117138.44142 
 11/02  14:00:00,5550772202.70922,0.0,813369020.7806969,2422259335.513945,0.0,1614839557.0092962,131999736.26373624,129200185.860564,274769994.3768128,164334372.9041696,48102503.05327088,650873.9990848072,47451629.05418607,5363150473.196366,0.0,3480774546.0676739,39780236.797811347,638491.2063364495,4460805889.591274 
 11/02  15:00:00,5504910349.651878,0.0,773958690.5108132,2422259335.513945,0.0,1614839557.0092962,131999736.26373624,125486354.25192137,272032303.1979969,164334372.9041696,48792763.36340304,1346004.7575419057,47446758.60586114,5056917561.343286,0.0,3400305785.5195729,38610223.845206219,1284688.2731790769,4199184892.6491248 
 11/02  16:00:00,5590572547.083251,0.0,691562487.1167567,2422259335.513945,0.0,1614839557.0092962,307999384.6153846,125665328.6035569,263912081.3201432,164334372.9041696,72149912.9344201,721535.9510729364,71428376.98334715,4539989211.3405289,0.0,3413914619.309887,51480283.32486116,706861.3119350846,3771482243.2436759 
 11/02  17:00:00,4976366073.793033,0.0,601831373.2578893,1883979483.1775125,73914000.0,1435412939.5638197,439999120.8791207,120498881.29917348,256395902.71134813,164334372.9041696,84482444.83780515,45050019.34742373,39432425.49038142,3923264406.4380667,0.0,3194824453.7191407,30420110.81327936,40510387.10585879,3248022724.1772215 
 11/02  18:00:00,4154136381.7240989,0.0,535019443.8336117,1345699630.8410807,221742000.0,1076559704.672864,439999120.8791207,120498881.29917348,250283227.29407845,164334372.9041696,242187603.3638852,210684421.4545229,31503181.90936224,3533889488.966964,0.0,2979335642.1856205,24570132.644689144,171262233.75027687,2933392994.428199 
 11/02  19:00:00,4037017518.631866,0.0,508922238.65646746,1345699630.8410807,221742000.0,1076559704.672864,351999296.7032966,120498881.29917348,247261393.5548135,164334372.9041696,288221567.2382246,264631312.02948175,23590255.208742896,3350995766.6242687,0.0,2905598617.0009405,17550095.861371224,208792799.21883545,2781142388.4820945 
 11/02  20:00:00,3290708608.6257679,0.0,485207429.04343596,807419778.5046485,221742000.0,897133087.2273873,351999296.7032966,120498881.29917348,242373762.94365783,164334372.9041696,398984373.9965865,375374097.3987029,23610276.59788362,3295071455.644455,0.0,2753554557.9828464,19890112.254823723,283944579.83531108,2546970525.0395376 
