Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 08/16  23:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,3970417.1017449714,0.0,3970417.1017449714,4503098.899698336,0.0,560880.954308966,0.0,0.0 
 08/16  24:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,3859799.056884288,0.0,560880.954308966,0.0,0.0 
 08/17  01:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,3859799.056884288,0.0,560942.4764074914,0.0,0.0 
 08/17  02:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,3970119.472673296,0.0,3970119.472673296,3859799.056884288,0.0,560942.4764074914,0.0,0.0 
 08/17  03:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,3859799.056884288,0.0,560942.4764074913,0.0,0.0 
 08/17  04:00:00,140170263.11872,0.0,0.0,9649497.642210719,53294400.0,77195981.13768575,0.0,30384.338823529408,3970602.8788027528,0.0,3970602.8788027528,3859799.056884288,0.0,560942.4764074914,0.0,0.0 
 08/17  05:00:00,149819760.76093073,0.0,0.0,19298995.284421438,53294400.0,77195981.13768575,0.0,30384.338823529408,72000.0,0.0,72000.0,7076298.270954527,0.0,897507.9622519864,0.0,0.0 
 08/17  06:00:00,138767960.84660805,21194424.273058185,8695881.167036036,19298995.284421438,0.0,77195981.13768575,12352294.645583112,30384.33882352941,3970936.339269935,0.0,3970936.339269935,8398743.376860183,247987802.71108727,785319.466970488,21194424.273058185,34258343.40501624 
 08/17  07:00:00,237114621.69969825,15976610.1160411,33729506.93653782,57896985.85326433,0.0,117654442.67614728,11826691.77888405,30384.33882352941,72000.0,0.0,72000.0,8523585.345516138,238553248.2396,2131581.410348467,15976610.1160411,133508531.57240856 
 08/17  08:00:00,512595153.2112159,829621.5471591473,71025242.66300372,173690957.55979295,0.0,253451924.59275989,13567022.50967659,30384.33882352941,7876480.058106581,0.0,7876480.058106581,34193374.759571287,299554268.9056552,3926597.3348524395,829621.5471591473,300249482.1354126 
 08/17  09:00:00,512183581.13865229,0.0,101788610.66659442,173690957.55979295,0.0,223397067.4499028,13276561.123538482,30384.338823529408,7877427.1970708449,0.0,7877427.1970708449,32174262.048969129,309790094.07048657,4263162.820696934,0.0,443751133.0592893 
