Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Humidifier:Electricity [J](Hourly),Refrigeration:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),WaterSystems:Gas [J](Hourly),HeatRejection:EnergyTransfer [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),WaterSystems:EnergyTransfer [J](Hourly),Refrigeration:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 07/16  05:00:00,3051494252.0415689,0.0,1233606016.5004826,466682061.59458956,37492200.0,407926009.7788609,117333098.90109866,401083044.7459069,230479804.41166628,134319131.12265883,0.0,22572884.98630541,1228455371.8700388,1114867561.8302463,50982029.64864,62605780.39115256,7330826875.500872,0.0,1522235913.278696,36701551.936125587,54221909.221347738,884070737.1178763,6032247313.445688 
 07/16  06:00:00,3391323180.7981946,0.0,1265295371.9185422,582833341.6376149,0.0,636801372.8715168,117333098.90109866,401083044.7459069,230948910.87715084,134319131.12265883,0.0,22708908.72370572,921373878.561647,788072667.5563041,101964059.29728,31337151.708063064,7556802493.728489,0.0,1740473459.277664,36701164.212994467,55643904.66477872,650345255.3854784,6226079493.431274 
 07/16  07:00:00,3438119639.0044419,0.0,1285392175.768804,582833341.6376149,0.0,663791564.0523169,117333098.90109866,401083044.7459069,231457919.36243934,134319131.12265883,0.0,21909363.413602406,935068534.8093431,719516779.9523257,152946088.94592,62605665.91109738,7692938884.510254,0.0,1816341310.0819543,36701536.648925859,53280520.35211144,568101564.8453131,6340628021.894978 
 07/16  08:00:00,3767737950.2465827,0.0,1308044501.887705,642985923.0816147,0.0,792155392.2367202,234666197.8021973,401083044.7459069,232060060.33206285,134319131.12265883,0.0,22423699.037717336,879672333.5919759,612888085.2897999,203928118.59456,62856129.70761603,7853079395.966822,0.0,1894369465.6866685,48901967.08983021,54083188.40379553,499400717.40931347,6478626806.613888 
 07/16  09:00:00,3770315614.6977417,0.0,1336343280.7204216,642985923.0816147,0.0,765165201.0559201,234666197.8021973,401083044.7459069,232960217.58948658,134319131.12265883,0.0,22792618.57953576,798764977.8402554,582709903.004716,152946088.94592,63108985.889619227,8048747987.889944,0.0,1928527310.0747874,61100644.74225698,54726397.20651105,464306613.5108129,6645552077.5112709 
 07/16  10:00:00,3820986960.880086,0.0,1359154792.8658119,642985923.0816147,0.0,792155392.2367202,234666197.8021973,401083044.7459069,233639890.1149754,134319131.12265883,0.0,22982588.91020081,907428316.6672206,557504089.0462586,254910148.24319998,95014079.3777621,8205766165.968484,0.0,1956502401.3081418,73301097.16738567,54595997.31698312,443481667.0395885,6778745589.767956 
 07/16  11:00:00,3856790337.43205,0.0,1390033449.5876678,642985923.0816147,0.0,792155392.2367202,234666197.8021973,401083044.7459069,234906750.97144304,134319131.12265883,0.0,26640447.883841795,897056080.339442,547135471.1024122,254910148.24319998,95010460.99382988,8419318241.981533,0.0,1966681558.6513789,73300757.29235164,59242785.881135988,435522819.56323876,6961310200.144978 
 07/16  12:00:00,3865880037.622308,0.0,1402262631.9426492,642985923.0816147,0.0,792155392.2367202,234666197.8021973,401083044.7459069,235245358.71153964,134319131.12265883,0.0,23162357.979021044,886204387.5768142,536287169.21083429,254910148.24319998,95007070.12277997,8496562890.418127,0.0,1984836719.41918,73301925.65550874,54398442.363029468,425082272.61792418,7024122044.573715 
 07/16  13:00:00,3858911063.083783,0.0,1421135287.333397,642985923.0816147,0.0,765165201.0559201,234666197.8021973,401083044.7459069,235989005.8330411,134319131.12265883,0.0,23567272.109047269,811727665.9865253,512784761.2023295,203928118.59456,95014786.18963579,8629501009.439373,0.0,2006937151.273301,73300648.63847183,56327719.33700411,405587449.24007609,7139725335.001188 
 07/16  14:00:00,3878759943.1701748,0.0,1440246643.6807464,642985923.0816147,0.0,765165201.0559201,234666197.8021973,401083044.7459069,236555991.07574914,134319131.12265883,0.0,23737810.605381486,724208630.7558186,476251132.19417586,152946088.94592,95011409.61572279,8754676826.691514,0.0,2040767203.8102818,73300981.36533009,56882090.6577545,376803307.68024387,7244025115.55444 
