Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),HeatingCoils:EnergyTransfer [J](Hourly),CoolingCoils:EnergyTransfer [J](Hourly) 
 06/17  24:00:00,43096653.65556,0.0,0.0,6876431.089379999,29757600.0,6462622.566179999,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/18  01:00:00,45250861.17762001,0.0,0.0,6876431.089379999,29757600.0,8616830.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/18  02:00:00,45250861.17762001,0.0,0.0,6876431.089379999,29757600.0,8616830.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/18  03:00:00,45250861.17762001,0.0,0.0,6876431.089379999,29757600.0,8616830.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/18  04:00:00,45250861.17762001,0.0,0.0,6876431.089379999,29757600.0,8616830.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/18  05:00:00,25412461.17762,0.0,0.0,6876431.089379999,9919200.0,8616830.08824,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 06/18  06:00:00,59628480.57718263,317431.54112545386,0.0,6876431.089379999,0.0,8616830.08824,43817787.85843718,37013746.0750261,37013746.0750261,367445.66315910979,32865216.012284347,29279662.574839698,0.0 
 06/18  07:00:00,88713893.64630869,156721.25387151546,0.0,27505724.357519997,0.0,17233660.17648,43817787.85843718,17823846.346271036,17823846.346271036,195444.18282262793,39316565.093623999,14093850.025511956,0.0 
 06/18  08:00:00,142702282.81808574,0.0,0.0,68764310.8938,0.0,30158905.30883999,43779066.615445729,5545.447441356671,5545.447441356671,0.0,57119311.68111457,4325.449004258204,0.0 
 06/18  09:00:00,206361107.70703084,0.0,30546.085665072365,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,76663961.27115327,0.0,158154.4225781379 
 06/18  10:00:00,206960777.7274567,0.0,630216.1060909394,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,74604346.9126563,0.0,3248076.5223165045 
 06/18  11:00:00,207230653.54156346,0.0,900091.9201977174,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,90014965.43119879,0.0,4686327.433597411 
 06/18  12:00:00,207066286.57096864,0.0,735724.949602906,123775759.60884,0.0,38775735.39708,43779066.615445729,0.0,0.0,0.0,109588729.72348573,0.0,3927894.9935965489 
